,year,name,driver_name,grid,race_finish_position,positions_gained_lost,era
1565,2000,British Grand Prix,wurz,20,9,11,V10
1563,2000,British Grand Prix,salo,18,8,10,V10
1566,2000,British Grand Prix,gene,21,14,7,V10
1567,2000,British Grand Prix,mazzacane,22,15,7,V10
1556,2000,British Grand Prix,trulli,11,6,5,V10
1557,2000,British Grand Prix,fisichella,12,7,5,V10
1560,2000,British Grand Prix,alesi,15,10,5,V10
1549,2000,British Grand Prix,coulthard,4,1,3,V10
1552,2000,British Grand Prix,ralf_schumacher,7,4,3,V10
1550,2000,British Grand Prix,michael_schumacher,5,3,2,V10
1558,2000,British Grand Prix,diniz,13,11,2,V10
1559,2000,British Grand Prix,herbert,14,12,2,V10
1548,2000,British Grand Prix,hakkinen,3,2,1,V10
1551,2000,British Grand Prix,button,6,5,1,V10
1554,2000,British Grand Prix,irvine,9,13,-4,V10
1555,2000,British Grand Prix,villeneuve,10,16,-6,V10
1547,2000,British Grand Prix,frentzen,2,17,-15,V10
1546,2000,British Grand Prix,barrichello,1,-100,-100,V10
1553,2000,British Grand Prix,verstappen,8,-100,-100,V10
1561,2000,British Grand Prix,zonta,16,-100,-100,V10
1562,2000,British Grand Prix,heidfeld,17,-100,-100,V10
1564,2000,British Grand Prix,rosa,19,-100,-100,V10
3978,2003,British Grand Prix,button,20,8,12,V10
3970,2003,British Grand Prix,coulthard,12,5,7,V10
3965,2003,British Grand Prix,montoya,7,2,5,V10
3975,2003,British Grand Prix,firman,17,13,4,V10
3977,2003,British Grand Prix,verstappen,19,15,4,V10
3971,2003,British Grand Prix,panis,13,11,2,V10
3972,2003,British Grand Prix,frentzen,14,12,2,V10
3976,2003,British Grand Prix,wilson,18,16,2,V10
3963,2003,British Grand Prix,michael_schumacher,5,4,1,V10
3959,2003,British Grand Prix,barrichello,1,1,0,V10
3961,2003,British Grand Prix,raikkonen,3,3,0,V10
3964,2003,British Grand Prix,matta,6,7,-1,V10
3967,2003,British Grand Prix,villeneuve,9,10,-1,V10
3974,2003,British Grand Prix,heidfeld,16,17,-1,V10
3969,2003,British Grand Prix,webber,11,14,-3,V10
3960,2003,British Grand Prix,trulli,2,6,-4,V10
3962,2003,British Grand Prix,ralf_schumacher,4,9,-5,V10
3966,2003,British Grand Prix,alonso,8,-100,-100,V10
3968,2003,British Grand Prix,pizzonia,10,-100,-100,V10
3973,2003,British Grand Prix,fisichella,15,-100,-100,V10
4038,2003,Italian Grand Prix,alonso,20,8,12,V10
4034,2003,Italian Grand Prix,heidfeld,16,9,7,V10
4036,2003,Italian Grand Prix,baumgartner,18,11,7,V10
4037,2003,Italian Grand Prix,kiesa,19,12,7,V10
4028,2003,Italian Grand Prix,villeneuve,10,6,4,V10
4029,2003,Italian Grand Prix,webber,11,7,4,V10
4031,2003,Italian Grand Prix,fisichella,13,10,3,V10
4032,2003,Italian Grand Prix,frentzen,14,13,1,V10
4019,2003,Italian Grand Prix,michael_schumacher,1,1,0,V10
4020,2003,Italian Grand Prix,montoya,2,2,0,V10
4021,2003,Italian Grand Prix,barrichello,3,3,0,V10
4022,2003,Italian Grand Prix,raikkonen,4,4,0,V10
4023,2003,Italian Grand Prix,gene,5,5,0,V10
4024,2003,Italian Grand Prix,trulli,6,-100,-100,V10
4025,2003,Italian Grand Prix,button,7,-100,-100,V10
4026,2003,Italian Grand Prix,coulthard,8,-100,-100,V10
4027,2003,Italian Grand Prix,panis,9,-100,-100,V10
4030,2003,Italian Grand Prix,matta,12,-100,-100,V10
4033,2003,Italian Grand Prix,wilson,15,-100,-100,V10
4035,2003,Italian Grand Prix,verstappen,17,-100,-100,V10
3895,2003,Monaco Grand Prix,firman,16,12,4,V10
3896,2003,Monaco Grand Prix,panis,17,13,4,V10
3887,2003,Monaco Grand Prix,alonso,8,5,3,V10
3893,2003,Monaco Grand Prix,heidfeld,14,11,3,V10
3882,2003,Monaco Grand Prix,montoya,3,1,2,V10
3884,2003,Monaco Grand Prix,michael_schumacher,5,3,2,V10
